"AccidentYear","PointReserve","BootMean","BootSD","CV","P10","P50","P75","P90","P99"
"AY2016",0,0,0,0,0,0,0,0,0
"AY2017",0,0,0,0,0,0,0,0,0
"AY2018",935,999,984,0.9858,21,706,1455,2442,3926
"AY2019",14876,14800,3609,0.2438,10406,14540,16886,19698,24192
"AY2020",139892,140147,11207,0.08,126244,139723,147374,154856,166371
"AY2021",915519,915869,27297,0.0298,883201,915229,933930,949098,987482
"AY2022",3816448,3814222,55582,0.0146,3743840,3814714,3853535,3885140,3933431
"AY2023",10260619,10261522,94196,0.0092,10143412,10261437,10329457,10378989,10478762
"AY2024",22279601,22284550,149190,0.0067,22085220,22284635,22388699,22469068,22617773
"AY2025",29467469,29475242,223640,0.0076,29188670,29472234,29631323,29750537,29989187
"TOTAL",66895360,66907351,331872,0.005,66454548,66900263,67131238,67345835,67611987
