"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",24887106,24887106,0,0.6222
"AY2017",27133445,27133445,0,0.6586
"AY2018",25520214,25521200,986,0.6014
"AY2019",28027200,28041906,14706,0.6416
"AY2020",28958948,29096211,137263,0.6463
"AY2021",30885800,31732434,846634,0.6843
"AY2022",28423381,32009112,3585731,0.6702
"AY2023",21258823,31415305,10156482,0.6386
"AY2024",12698439,33167478,20469039,0.6546
"AY2025",2942851,33037012,30094162,0.633
"TOTAL",230736205,296041209,65305004,0.6456
