"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",24887106,24887106,0,0.6222
"AY2017",27133445,27133445,0,0.6586
"AY2018",25520214,25521149,935,0.6014
"AY2019",28027200,28042076,14876,0.6416
"AY2020",28958948,29098840,139892,0.6463
"AY2021",30885800,31801318,915519,0.6858
"AY2022",28423381,32239829,3816448,0.675
"AY2023",21258823,31519442,10260619,0.6407
"AY2024",12698439,34978040,22279601,0.6903
"AY2025",2942851,32410320,29467469,0.621
"TOTAL",230736205,297631565,66895360,0.6491
