"AccidentYear","PointReserve","BootMean","BootSD","CV","P10","P50","P75","P90","P99"
"AY2016",0,0,0,0,0,0,0,0,0
"AY2017",978041,985602,113668,0.1153,855820,975531,1041735,1118598,1366089
"AY2018",1847433,1848247,144004,0.0779,1681099,1834241,1936868,2032245,2241315
"AY2019",3682846,3692759,196176,0.0531,3462425,3682109,3814818,3938769,4197543
"AY2020",4248140,4265631,189045,0.0443,4028057,4262133,4383221,4503518,4764549
"AY2021",7836441,7846716,278333,0.0355,7515645,7824319,8020377,8210673,8517883
"AY2022",11670101,11673276,334611,0.0287,11250940,11660919,11873637,12112833,12548651
"AY2023",16830636,16821543,414888,0.0247,16288930,16821255,17091853,17356955,17860478
"AY2024",16260149,16253664,387468,0.0238,15773258,16265445,16475193,16755372,17179146
"AY2025",24111266,24125085,511395,0.0212,23470500,24111214,24463565,24780657,25412822
"TOTAL",87465053,87512522,1621295,0.0185,85655503,87396440,88529699,89561371,91951105
