"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",19784168,19784168,0,0.6595
"AY2017",21638383,22616424,978041,0.718
"AY2018",18264140,20111573,1847433,0.6081
"AY2019",20633475,24316321,3682846,0.7002
"AY2020",15618455,19866595,4248140,0.5448
"AY2021",19625626,27462066,7836441,0.7172
"AY2022",19994860,31664962,11670101,0.7876
"AY2023",18774748,35605384,16830636,0.8435
"AY2024",11194844,27454993,16260149,0.6194
"AY2025",8182589,32293855,24111266,0.6939
"TOTAL",173711288,261176342,87465053,0.6922
