"AccidentYear","PointReserve","BootMean","BootSD","CV","P10","P50","P75","P90","P99"
"AY2016",0,0,0,0,0,0,0,0,0
"AY2017",381963,382954,32731,0.0855,344437,379944,402450,426761,470529
"AY2018",832011,832774,45402,0.0545,776675,830366,861489,892920,941934
"AY2019",1171260,1172415,49584,0.0423,1110307,1170608,1205258,1234436,1303604
"AY2020",2091639,2092030,69922,0.0334,2004821,2089698,2136922,2177071,2272936
"AY2021",2516801,2516412,70663,0.0281,2432086,2513392,2560326,2605907,2691275
"AY2022",3241108,3241751,80085,0.0247,3139771,3239332,3297781,3345866,3446187
"AY2023",5265316,5269857,106099,0.0201,5137666,5268212,5338574,5409327,5525102
"AY2024",5983638,5978731,106052,0.0177,5842972,5979595,6050721,6116580,6209814
"AY2025",6613735,6615468,109656,0.0166,6477122,6614461,6690723,6758108,6866913
"TOTAL",28097471,28102394,417578,0.0149,27594243,28072527,28369177,28658155,29121667
