"AccidentYear","PointReserve","BootMean","BootSD","CV","P10","P50","P75","P90","P99"
"AY2016",0,0,0,0,0,0,0,0,0
"AY2017",1825036,1815286,277776,0.153,1497692,1789205,1970976,2121357,2813515
"AY2018",3442710,3426415,339570,0.0991,3011203,3412479,3633700,3825933,4366405
"AY2019",8197567,8168065,527274,0.0646,7512518,8143143,8491097,8820074,9494554
"AY2020",11741229,11707898,600427,0.0513,10963232,11694542,12091919,12476633,13081929
"AY2021",16411219,16371983,693476,0.0424,15502178,16379568,16811820,17263243,18053058
"AY2022",20609450,20557297,792783,0.0386,19563542,20549326,21078628,21576635,22447049
"AY2023",25252162,25218321,856298,0.034,24169150,25206842,25768447,26310613,27213110
"AY2024",32897895,32860869,1055928,0.0321,31520114,32874140,33588467,34188609,35132004
"AY2025",48853930,48877590,1341992,0.0275,47211619,48855842,49827944,50572520,51979087
"TOTAL",169231198,169003724,3796380,0.0225,164361316,168997297,171467311,173554949,178873264
