"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",38840234,38840234,0,0.7062
"AY2017",39876581,41703552,1826971,0.7398
"AY2018",31400248,35628127,4227879,0.6166
"AY2019",42464329,49561160,7096831,0.8368
"AY2020",36289972,47279395,10989424,0.7788
"AY2021",33293156,48507559,15214403,0.7795
"AY2022",27422596,47688587,20265991,0.7477
"AY2023",20944525,47407833,26463309,0.7251
"AY2024",15434408,49210616,33776208,0.7344
"AY2025",9745830,52149925,42404096,0.7592
"TOTAL",295711877,457976988,162265111,0.7432
