"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",38840234,38840234,0,0.7062
"AY2017",39876581,41701617,1825036,0.7397
"AY2018",31400248,34842958,3442710,0.603
"AY2019",42464329,50661896,8197567,0.8554
"AY2020",36289972,48031200,11741229,0.7912
"AY2021",33293156,49704375,16411219,0.7988
"AY2022",27422596,48032045,20609450,0.7531
"AY2023",20944525,46196687,25252162,0.7066
"AY2024",15434408,48332303,32897895,0.7212
"AY2025",9745830,58599759,48853930,0.8531
"TOTAL",295711877,464943075,169231198,0.7545
